#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
,"
Asia
",214177844,34109.0,1535995.0,199.0,198776221.0,42580.0,13865628.0,15540.0,,,,,,Asia,,,,,,,2023-02-24
,"
North America
",124454659,13166.0,1609910.0,100.0,119688106.0,39469.0,3156643.0,7752.0,,,,,,North America,,,,,,,2023-02-24
,"
Europe
",246116716,51474.0,2016321.0,223.0,241707445.0,28487.0,2392950.0,6461.0,,,,,,Europe,,,,,,,2023-02-24
,"
South America
",67966089,15202.0,1350361.0,141.0,66204615.0,7649.0,411113.0,10195.0,,,,,,South America,,,,,,,2023-02-24
,"
Oceania
",13987191,2961.0,26076.0,16.0,13826284.0,2416.0,134831.0,64.0,,,,,,Australia/Oceania,,,,,,,2023-02-24
,"
Africa
",12791178,424.0,258576.0,,12074525.0,101.0,458077.0,547.0,,,,,,Africa,,,,,,,2023-02-24
,"

",721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,,2023-02-24
78.0,Azerbaijan,828477,28.0,10114.0,3.0,818209.0,26.0,154.0,,80433.0,982.0,7519926.0,"730,075",10300205.0,Asia,12.0,1018.0,1.0,3.0,0.3,15.0,2023-02-24
79.0,Paraguay,808327,874.0,19870.0,21.0,,,,7.0,110641.0,2720.0,2657506.0,"363,751",7305843.0,South America,9.0,368.0,3.0,120.0,3.0,12338.0,2023-02-24
80.0,Bahrain,706013,183.0,1548.0,,706013.0,4066.0,1548.0,2.0,395751.0,868.0,10731193.0,"6,015,300",1783983.0,Asia,3.0,1152.0,0.0,103.0,,86772.0,2023-02-24
81.0,Sri Lanka,672026,1.0,16830.0,,655194.0,1.0,2.0,,31147.0,780.0,6486117.0,"300,619",21575842.0,Asia,32.0,1282.0,3.0,5.0,,9.0,2023-02-24
82.0,Kuwait,663456,,2570.0,,660237.0,,649.0,,151463.0,587.0,8455743.0,"1,930,391",4380326.0,Asia,7.0,1704.0,1.0,,,148.0,2023-02-24
83.0,Dominican Republic,660533,,4384.0,,644785.0,,11364.0,4.0,59742.0,397.0,3740928.0,"338,350",11056370.0,North America,17.0,2522.0,3.0,,,1028.0,2023-02-24
84.0,Cyprus,649093,2062.0,1305.0,8.0,642863.0,1497.0,4925.0,60.0,530570.0,1067.0,9640118.0,"7,879,860",1223387.0,Asia,2.0,937.0,0.0,1685.0,7.0,4026.0,2023-02-24
85.0,Myanmar,633906,1.0,19490.0,,614378.0,3.0,38.0,,11478.0,353.0,10036203.0,"181,726",55227143.0,Asia,87.0,2834.0,6.0,2.0,,7.0,2023-02-24
86.0,Palestine,621008,,5404.0,,615445.0,,159.0,17.0,116173.0,1011.0,3078533.0,"575,907",5345541.0,Asia,9.0,989.0,2.0,,,30.0,2023-02-24
87.0,Estonia,614848,,2934.0,,524990.0,,86924.0,1.0,465121.0,2220.0,3671717.0,"2,777,585",1321910.0,Europe,2.0,451.0,0.0,,,65756.0,2023-02-24
88.0,Moldova,603750,,11974.0,,504142.0,,87634.0,49.0,150442.0,2984.0,3216305.0,"801,437",4013171.0,Europe,7.0,335.0,1.0,,,21837.0,2023-02-24
