#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
,"
Asia
47,New Zealand,"2,207,775",,"3,864                                ",,"2,197,123",,"6,788",,"450,732",789,"7,768,604","1,586,011","4,898,203 ",Australia/Oceania,2,"1,268",1,,,"1,386",2023-02-24 22:52:50.662038
48,Hungary,"2,194,969",,"48,745                                ",,"2,142,682",,"3,542",6,"228,494","5,074","11,394,556","1,186,160","9,606,259 ",Europe,4,197,1,,,369,2023-02-24 22:52:50.662038
49,Bangladesh,"2,037,773",,"29,445                                ",,"1,998,448",,"9,880",N/A,"12,138",175,"15,254,399","90,862","167,885,689 ",Asia,82,"5,702",11,,,59,2023-02-24 22:52:50.662038
50,Slovakia,"1,862,590",+95,"21,014                                ",+3,"1,840,451",+78,"1,125",16,"341,122","3,849","7,401,355","1,355,512","5,460,193 ",Europe,3,260,1,17,0.5,206,2023-02-24 22:52:50.662038
51,Georgia,"1,825,598",,"16,965                                ",,"1,776,548",,"32,085",,"459,995","4,275","16,920,079","4,263,340","3,968,738 ",Asia,2,234,0,,,"8,084",2023-02-24 22:52:50.662038
52,Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869 ",Asia,6,729,1,,,181,2023-02-24 22:52:50.662038
53,Ireland,"1,702,523",,"8,629                                ",,"1,691,735",+111,"2,159",11,"339,135","1,719","13,024,205","2,594,360","5,020,199 ",Europe,3,582,0,,,430,2023-02-24 22:52:50.662038
54,Pakistan,"1,576,838",+42,"30,641                                ",,"1,538,689",,"7,508",16,"6,871",134,"30,570,862","133,213","229,488,994 ",Asia,146,"7,490",8,0.2,,33,2023-02-24 22:52:50.662038
55,Norway,"1,478,865",+48,"5,112                                ",,"1,473,096",+60,657,20,"268,330",928,"11,002,430","1,996,315","5,511,370 ",Europe,4,"1,078",1,9,,119,2023-02-24 22:52:50.662038
56,Finland,"1,462,169",,"8,892                                ",,"1,451,354",,"1,923",21,"263,219","1,601","12,047,792","2,168,835","5,554,960 ",Europe,4,625,0,,,346,2023-02-24 22:52:50.662038
57,Kazakhstan,"1,407,351",,"13,846                                ",,"1,383,020",,"10,485",24,"73,280",721,"11,575,012","602,707","19,205,043 ",Asia,14,"1,387",2,,,546,2023-02-24 22:52:50.662038
58,Slovenia,"1,327,065",+319,"7,071                                ",+3,"1,316,266",+65,"3,728",4,"638,616","3,403","2,835,462","1,364,493","2,078,034 ",Europe,2,294,1,154,1,"1,794",2023-02-24 22:52:50.662038
59,Lithuania,"1,303,699",+313,"9,583                                ",+1,"1,288,284",+284,"5,832",8,"489,798","3,600","10,373,322","3,897,243","2,661,708 ",Europe,2,278,0,118,0.4,"2,191",2023-02-24 22:52:50.662038
60,Bulgaria,"1,296,614",+81,"38,210                                ",,"1,255,494",+36,"2,910",26,"189,436","5,583","11,046,957","1,613,967","6,844,597 ",Europe,5,179,1,12,,425,2023-02-24 22:52:50.662038
61,Morocco,"1,272,435",+17,"16,296                                ",,"1,256,057",+6,82,3,"33,687",431,"12,976,548","343,543","37,772,756 ",Africa,30,"2,318",3,0.5,,2,2023-02-24 22:52:50.662038
62,Croatia,"1,268,666",,"17,950                                ",,"1,250,175",,541,10,"312,534","4,422","5,503,682","1,355,825","4,059,286 ",Europe,3,226,1,,,133,2023-02-24 22:52:50.662038
63,Guatemala,"1,235,447",+365,"20,165                                ",+2,"1,214,062",+379,"1,220",5,"66,479","1,085","6,909,090","371,775","18,584,039 ",North America,15,922,3,20,0.1,66,2023-02-24 22:52:50.662038
64,Lebanon,"1,231,456",+153,"10,822                                ",+1,"1,087,587",,"133,047",74,"184,216","1,619","4,795,578","717,380","6,684,849 ",Asia,5,618,1,23,0.1,"19,903",2023-02-24 22:52:50.662038
65,Costa Rica,"1,199,055",,"9,214                                ",,"860,711",,"329,130",52,"231,373","1,778","4,659,757","899,158","5,182,354 ",North America,4,562,1,,,"63,510",2023-02-24 22:52:50.662038
66,Bolivia,"1,192,514",+156,"22,363                                ",,"1,156,358",+467,"13,793",220,"99,437","1,865","2,705,422","225,590","11,992,656 ",South America,10,536,4,13,,"1,150",2023-02-24 22:52:50.662038
67,Tunisia,"1,150,793",,"29,330                                ",,N/A,N/A,N/A,44,"95,528","2,435","5,001,397","415,169","12,046,656 ",Africa,10,411,2,,,951,2023-02-24 22:52:50.662038
68,Cuba,"1,112,572",+5,"8,530                                ",,"1,103,963",+6,79,,"98,408",754,"14,315,545","1,266,229","11,305,652 ",North America,10,"1,325",1,0.4,,7,2023-02-24 22:52:50.662038
69,Ecuador,"1,056,578",,"36,008                                ",,"1,015,999",,"4,571",759,"58,331","1,988","3,082,403","170,173","18,113,361 ",South America,17,503,6,,,252,2023-02-24 22:52:50.662038
70,UAE,"1,051,589",+132,"2,349                                ",+1,"1,034,835",+104,"14,405",,"104,306",233,"199,126,406","19,751,106","10,081,785 ",Asia,10,"4,292",0,13,0.10,"1,429",2023-02-24 22:52:50.662038
71,Uruguay,"1,034,046",,"7,617                                ",,"1,025,995",,434,18,"295,778","2,179","6,114,822","1,749,083","3,496,016 ",South America,3,459,1,,,124,2023-02-24 22:52:50.662038
72,Panama,"1,031,014",,"8,603                                ",,"1,021,886",,525,16,"231,847","1,935","7,522,110","1,691,516","4,446,964 ",North America,4,517,1,,,118,2023-02-24 22:52:50.662038
73,Mongolia,"1,007,896",,"2,179                                ",,"1,005,707",+2,10,192,"298,364",645,"4,030,048","1,193,000","3,378,078 ",Asia,3,"1,550",1,,,3,2023-02-24 22:52:50.662038
74,Nepal,"1,001,139",+1,"12,020                                ",,"989,111",+4,8,,"33,122",398,"6,010,940","198,869","30,225,582 ",Asia,30,"2,515",5,0.03,,0.3,2023-02-24 22:52:50.662038
75,Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800 ",Europe,9,"1,325",1,,,141,2023-02-24 22:52:50.662038
76,Latvia,"975,928",+25,"6,237                                ",+2,"969,343",+32,348,13,"527,860","3,373","7,863,922","4,253,443","1,848,837 ",Europe,2,296,0,14,1,188,2023-02-24 22:52:50.662038
77,Saudi Arabia,"829,185",+48,"9,611                                ",+3,"816,538",+51,"3,036",41,"23,133",268,"45,130,369","1,259,045","35,844,909 ",Asia,43,"3,730",1,1,0.08,85,2023-02-24 22:52:50.662038
78,Azerbaijan,"828,477",+28,"10,114                                ",+3,"818,209",+26,154,,"80,433",982,"7,519,926","730,075","10,300,205 ",Asia,12,"1,018",1,3,0.3,15,2023-02-24 22:52:50.662038
79,Paraguay,"808,327",+874,"19,870                                ",+21,N/A,N/A,N/A,7,"110,641","2,720","2,657,506","363,751","7,305,843 ",South America,9,368,3,120,3,"12,338",2023-02-24 22:52:50.662038
