#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
,"
Asia
38,Philippines,"4,076,297",+67,"66,111                                ",+3,"4,000,971",+134,"9,215",162,"36,231",588,"34,593,073","307,469","112,508,994 ",Asia,28,"1,702",3,0.6,0.03,82,2023-02-28
39,South Africa,"4,063,573",+336,"102,595                                ",,"3,912,506",,"48,472",192,"66,883","1,689","26,795,090","441,027","60,756,135 ",Africa,15,592,2,6,,798,2023-02-28
40,Romania,"3,340,342",,"67,704                                ",,"3,260,101",,"12,537",115,"175,518","3,558","26,676,248","1,401,701","19,031,335 ",Europe,6,281,1,,,659,2023-02-28
41,Denmark,"3,175,195",+66,"8,265                                ",+10,"3,166,012",+90,918,19,"544,168","1,416","129,195,966","22,141,743","5,834,950 ",Europe,2,706,0,11,2,157,2023-02-28
42,Hong Kong,"2,883,346",+96,"13,457                                ",+6,"2,846,874","+2,271","23,015",28,"379,173","1,770","76,127,725","10,011,143","7,604,299 ",Asia,3,565,0,13,0.8,"3,027",2023-02-28
43,Sweden,"2,697,827",,"23,633                                ",,"2,670,577",+140,"3,617",9,"264,002","2,313","19,469,139","1,905,196","10,218,971 ",Europe,4,432,1,,,354,2023-02-28
44,Serbia,"2,492,563",+859,"17,826                                ",+5,"2,460,909",+755,"13,828",16,"288,057","2,060","12,396,861","1,432,664","8,653,016 ",Europe,3,485,1,99,0.6,"1,598",2023-02-28
45,Iraq,"2,465,545",,"25,375                                ",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965 ",Asia,17,"1,662",2,,,16,2023-02-28
46,Singapore,"2,222,006",,"1,722                                ",,"2,149,583",,"70,701",1,"373,852",290,"24,756,666","4,165,302","5,943,546 ",Asia,3,"3,452",0,,,"11,895",2023-02-28
47,New Zealand,"2,216,852",,"3,904                                ",,"2,205,354",,"7,594",,"452,585",797,"7,768,604","1,586,011","4,898,203 ",Australia/Oceania,2,"1,255",1,,,"1,550",2023-02-28
48,Hungary,"2,194,969",,"48,745                                ",,"2,142,682",,"3,542",6,"228,494","5,074","11,394,556","1,186,160","9,606,259 ",Europe,4,197,1,,,369,2023-02-28
49,Bangladesh,"2,037,818",+10,"29,445                                ",,"1,998,448",,"9,925",N/A,"12,138",175,"15,254,399","90,862","167,885,689 ",Asia,82,"5,702",11,0.06,,59,2023-02-28
50,Slovakia,"1,862,889",+110,"21,021                                ",+4,"1,840,687",+105,"1,181",20,"341,176","3,850","7,402,963","1,355,806","5,460,193 ",Europe,3,260,1,20,0.7,216,2023-02-28
51,Georgia,"1,825,598",,"16,965                                ",,"1,776,548",,"32,085",,"459,995","4,275","16,920,079","4,263,340","3,968,738 ",Asia,2,234,0,,,"8,084",2023-02-28
52,Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869 ",Asia,6,729,1,,,181,2023-02-28
53,Ireland,"1,703,850",,"8,691                                ",,"1,692,179",+115,"2,980",11,"339,399","1,731","13,024,205","2,594,360","5,020,199 ",Europe,3,578,0,,,594,2023-02-28
54,Pakistan,"1,576,962",+23,"30,643                                ",,"1,538,689",,"7,630",13,"6,872",134,"30,570,862","133,213","229,488,994 ",Asia,146,"7,489",8,0.1,,33,2023-02-28
55,Norway,"1,479,032",+53,"5,175                                ",,"1,473,216",+13,641,20,"268,360",939,"11,002,430","1,996,315","5,511,370 ",Europe,4,"1,065",1,10,,116,2023-02-28
56,Finland,"1,462,169",,"8,892                                ",,"1,451,778",+76,"1,499",21,"263,219","1,601","12,047,792","2,168,835","5,554,960 ",Europe,4,625,0,,,270,2023-02-28
57,Kazakhstan,"1,407,823",,"13,846                                ",,"1,383,020",,"10,957",24,"73,305",721,"11,575,012","602,707","19,205,043 ",Asia,14,"1,387",2,,,571,2023-02-28
58,Slovenia,"1,328,238",+601,"7,071                                ",,"1,317,265",+379,"3,902",6,"639,180","3,403","2,837,254","1,365,355","2,078,034 ",Europe,2,294,1,289,,"1,878",2023-02-28
59,Lithuania,"1,304,787",+655,"9,589                                ",+3,"1,289,339",+383,"5,859",5,"490,207","3,603","10,376,092","3,898,283","2,661,708 ",Europe,2,278,0,246,1,"2,201",2023-02-28
60,Bulgaria,"1,296,853",+80,"38,217                                ",+1,"1,255,662",+49,"2,974",27,"189,471","5,584","11,055,587","1,615,228","6,844,597 ",Europe,5,179,1,12,0.1,435,2023-02-28
61,Morocco,"1,272,454",+8,"16,296                                ",,"1,256,091",+8,67,3,"33,687",431,"12,983,320","343,722","37,772,756 ",Africa,30,"2,318",3,0.2,,2,2023-02-28
62,Croatia,"1,268,992",,"17,971                                ",,"1,250,549",,472,10,"312,615","4,427","5,503,682","1,355,825","4,059,286 ",Europe,3,226,1,,,116,2023-02-28
63,Guatemala,"1,236,406",+410,"20,173                                ",+4,"1,215,077",+420,"1,156",5,"66,531","1,086","6,925,325","372,649","18,584,039 ",North America,15,921,3,22,0.2,62,2023-02-28
64,Lebanon,"1,231,840",,"10,828                                ",,"1,087,587",,"133,425",74,"184,273","1,620","4,795,578","717,380","6,684,849 ",Asia,5,617,1,,,"19,959",2023-02-28
65,Costa Rica,"1,199,055",,"9,214                                ",,"860,711",,"329,130",52,"231,373","1,778","4,659,757","899,158","5,182,354 ",North America,4,562,1,,,"63,510",2023-02-28
66,Bolivia,"1,193,009",+76,"22,365                                ",,"1,157,640",+322,"13,004",220,"99,478","1,865","2,705,422","225,590","11,992,656 ",South America,10,536,4,6,,"1,084",2023-02-28
